thumbnail,registeredAt,id,count,title
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42790453/42790453.6372940.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42790453/42790453.6372940.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42790453/42790453.6372940"")",2023-09-21T21:03:05+09:00,sm42790453,"Dict{String, Any}(""view"" => 20813, ""like"" => 1044, ""comment"" => 2155, ""mylist"" => 51)",【アーマードコアⅥ】 ルビコンタマネギ Part.9【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793106/42793106.58853825.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793106/42793106.58853825.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793106/42793106.58853825"")",2023-09-22T18:00:00+09:00,sm42793106,"Dict{String, Any}(""view"" => 6878, ""like"" => 605, ""comment"" => 1396, ""mylist"" => 19)",【アーマード・コアⅥ】『最終ボス戦』近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その27-完-
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42790276/42790276.64014275.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42790276/42790276.64014275.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42790276/42790276.64014275"")",2023-09-21T18:00:00+09:00,sm42790276,"Dict{String, Any}(""view"" => 12762, ""like"" => 1536, ""comment"" => 911, ""mylist"" => 47)",【アーマードコア6】ゆかりは闘争を求める #12【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787963/42787963.36615672.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787963/42787963.36615672.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787963/42787963.36615672"")",2023-09-22T17:05:00+09:00,sm42787963,"Dict{String, Any}(""view"" => 9753, ""like"" => 316, ""comment"" => 1246, ""mylist"" => 16)",旧型機体の性能が低いのなら、拳で敵を破壊すればいい！！ #15【アーマードコア６】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42779282/42779282.25204471.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42779282/42779282.25204471.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42779282/42779282.25204471"")",2023-09-18T20:08:02+09:00,sm42779282,"Dict{String, Any}(""view"" => 75183, ""like"" => 2834, ""comment"" => 687, ""mylist"" => 558)",ミシガン総長のパーフェクトさんすう教室
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789102/42789102.40808731.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789102/42789102.40808731.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789102/42789102.40808731"")",2023-09-22T20:00:00+09:00,sm42789102,"Dict{String, Any}(""view"" => 2665, ""like"" => 549, ""comment"" => 285, ""mylist"" => 22)",【アーマードコア６】ナニカサレタずんちゃん＃１２【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789810/42789810.2677380.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789810/42789810.2677380.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789810/42789810.2677380"")",2023-09-21T18:00:00+09:00,sm42789810,"Dict{String, Any}(""view"" => 11098, ""like"" => 523, ""comment"" => 1210, ""mylist"" => 22)",【アーマード・コアⅥ】近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その26
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42767554/42767554.20913529.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42767554/42767554.20913529.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42767554/42767554.20913529"")",2023-09-16T12:26:02+09:00,sm42767554,"Dict{String, Any}(""view"" => 25189, ""like"" => 646, ""comment"" => 118, ""mylist"" => 76)",アーキ坊や.BB
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794005/42794005.12813090.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794005/42794005.12813090.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794005/42794005.12813090"")",2023-09-22T19:00:00+09:00,sm42794005,"Dict{String, Any}(""view"" => 1715, ""like"" => 174, ""comment"" => 441, ""mylist"" => 4)",アーマードコア6をねっとりプレイ 第15話
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782612/42782612.11712707.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782612/42782612.11712707.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782612/42782612.11712707"")",2023-09-19T19:26:03+09:00,sm42782612,"Dict{String, Any}(""view"" => 30516, ""like"" => 1220, ""comment"" => 1740, ""mylist"" => 52)",【アーマードコアⅥ】 ルビコンタマネギ Part.8【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42781613/42781613.43553903.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42781613/42781613.43553903.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42781613/42781613.43553903"")",2023-09-19T17:05:00+09:00,sm42781613,"Dict{String, Any}(""view"" => 29979, ""like"" => 670, ""comment"" => 2519, ""mylist"" => 36)",超高機動ボス「アイビスシリーズ」に銃弾の雨を降り注げ！！ #14【アーマードコア６】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42786209/42786209.59924846.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42786209/42786209.59924846.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42786209/42786209.59924846"")",2023-09-20T18:00:00+09:00,sm42786209,"Dict{String, Any}(""view"" => 14045, ""like"" => 559, ""comment"" => 1317, ""mylist"" => 21)",【アーマード・コアⅥ】近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その25
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42735813/42735813.83680517.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42735813/42735813.83680517.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42735813/42735813.83680517"")",2023-09-09T00:00:00+09:00,sm42735813,"Dict{String, Any}(""view"" => 107901, ""like"" => 2937, ""comment"" => 694, ""mylist"" => 443)",ご友人！ご友人！ご友人！ご友人！ご友人！ご友人！ご友人！ご友人？ご友人！ご友人！ご友人！ご友人？ご友人！ご友人！ご友人？ご友人！ご友人！ご友人！ご友人！ご友人！ご友人！ご友人！ご友人！ご友人？ご友人！
